model,group_field,group,N,students,questions,prevalence,status,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
AdaptiveMath-AI,primary_subject_id,58,462,94,88,0.6255411255411255,low_support,,,,,,,,,,
HGB100,primary_subject_id,58,462,94,88,0.6255411255411255,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,60,952,186,129,0.6228991596638656,low_support,,,,,,,,,,
HGB100,primary_subject_id,60,952,186,129,0.6228991596638656,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,63,1056,184,152,0.6666666666666666,estimable,0.7473124354338835,0.8545030094504807,0.571176229261049,0.547607785512437,0.1859236221883571,0.0266677525022503,-0.17769155298252323,1.0985734825779219,0.7159090909090904,
HGB100,primary_subject_id,63,1056,184,152,0.6666666666666666,estimable,0.7504741574121891,0.8566812931560218,0.5727694611283837,0.5460437180933229,0.1853030878325995,0.03676491932296465,-0.17107613977751338,1.1024183426150773,0.7206439393939388,
AdaptiveMath-AI,primary_subject_id,64,3845,526,417,0.6127438231469441,estimable,0.7743044351275528,0.8453395144146723,0.6510589589580101,0.5493953683811275,0.18626249525329938,0.024631800791732796,-0.02996504382062056,1.0611436128716876,0.7219765929778958,
HGB100,primary_subject_id,64,3845,526,417,0.6127438231469441,estimable,0.767762117440747,0.839070491589065,0.6486976627808219,0.5547658973000549,0.18842992852572632,0.021246472927492772,-0.03262402874012047,1.0316161717838253,0.7209362808842678,
AdaptiveMath-AI,primary_subject_id,65,882,136,140,0.5850340136054422,low_support,,,,,,,,,,
HGB100,primary_subject_id,65,882,136,140,0.5850340136054422,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,66,64,26,9,0.703125,low_support,,,,,,,,,,
HGB100,primary_subject_id,66,64,26,9,0.703125,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,67,2239,474,197,0.5645377400625279,estimable,0.7411615546900292,0.7899114679596952,0.6582637021306175,0.5933511054707064,0.2044905413676109,0.03669655387239284,-0.11876690707263952,0.9015933478816848,0.684680661009381,
HGB100,primary_subject_id,67,2239,474,197,0.5645377400625279,estimable,0.7374675430055112,0.7881280022152569,0.6464128405724056,0.597672443188737,0.20647002553134675,0.047137749976613005,-0.1665934616847076,0.9030650791735348,0.678874497543548,
AdaptiveMath-AI,primary_subject_id,69,200,37,59,0.555,low_support,,,,,,,,,,
HGB100,primary_subject_id,69,200,37,59,0.555,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,70,1758,400,206,0.5688282138794084,estimable,0.7252480211081853,0.7801439823457108,0.6229597726356851,0.6033395759465772,0.20868755035792855,0.03703352665013083,0.04063214476336876,0.8739580117584648,0.6757679180887364,
HGB100,primary_subject_id,70,1758,400,206,0.5688282138794084,estimable,0.7202038258575257,0.7750677928838648,0.6127224817767937,0.6076960688761786,0.21031412460239685,0.039467837655338414,0.027572024538319213,0.8397890823784501,0.6734926052332187,
AdaptiveMath-AI,primary_subject_id,72,148,54,24,0.5743243243243243,low_support,,,,,,,,,,
HGB100,primary_subject_id,72,148,54,24,0.5743243243243243,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,73,387,116,150,0.6563307493540051,low_support,,,,,,,,,,
HGB100,primary_subject_id,73,387,116,150,0.6563307493540051,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,75,2268,481,257,0.5855379188712522,estimable,0.7083155761343235,0.7784591613629055,0.6033514242416131,0.6094139317438823,0.21196423503002707,0.029441872186681716,0.030956215623553034,0.8572748804137933,0.6649029982363316,
HGB100,primary_subject_id,75,2268,481,257,0.5855379188712522,estimable,0.7103394962830033,0.7815103045830631,0.6001976319606556,0.6077392149620657,0.21131975459357075,0.029399555615583106,0.024921716238432014,0.8650142001716059,0.665784832451499,
AdaptiveMath-AI,primary_subject_id,76,547,121,102,0.5447897623400365,low_support,,,,,,,,,,
HGB100,primary_subject_id,76,547,121,102,0.5447897623400365,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,78,313,49,108,0.645367412140575,low_support,,,,,,,,,,
HGB100,primary_subject_id,78,313,49,108,0.645367412140575,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,80,179,84,37,0.6815642458100558,low_support,,,,,,,,,,
HGB100,primary_subject_id,80,179,84,37,0.6815642458100558,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,84,298,124,65,0.6174496644295302,low_support,,,,,,,,,,
HGB100,primary_subject_id,84,298,124,65,0.6174496644295302,low_support,,,,,,,,,,
